"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"1",959,403,310,798,709,999,66,173
"2",544,453,539,786,602,120,706,275
"3",309,703,506,497,740,463,913,599
"4",912,869,415,433,4,254,611,314
"5",747,952,17,405,87,539,360,181
"6",49,540,532,23,773,215,309,506
"7",354,396,374,509,104,362,650,562
"8",686,292,843,696,82,14,847,442
"9",39,65,153,899,531,873,773,406
"10",182,997,808,228,891,823,919,100
"11",319,142,368,268,48,425,172,788
"12",74,867,516,534,538,538,278,719
"13",736,694,961,779,448,582,874,1000
"14",28,980,379,473,968,274,550,681
"15",968,28,577,911,434,787,102,756
"16",940,729,552,343,498,605,702,62
"17",419,210,591,211,425,761,908,971
"18",130,346,274,307,231,529,990,224
"19",798,931,199,483,690,803,843,133
"20",550,899,840,726,387,302,31,740
"21",343,156,187,371,345,543,150,279
"22",483,501,757,627,954,252,643,498
"23",975,535,683,920,988,793,295,432
"24",418,715,750,21,153,407,146,192
"25",745,191,773,648,763,591,698,324
"26",399,520,744,359,265,456,855,131
"27",136,375,404,477,457,50,512,40
"28",149,978,674,431,698,322,757,944
"29",101,810,929,418,592,556,923,4
"30",603,367,296,566,624,687,878,25
"31",922,745,52,93,534,505,294,752
"32",68,586,979,84,397,641,166,212
"33",401,22,589,44,443,131,118,349
"34",18,837,505,759,355,809,883,464
"35",981,545,193,232,528,896,33,384
"36",352,582,872,71,458,871,653,827
"37",965,277,127,799,275,514,788,66
"38",514,872,46,872,433,278,701,860
"39",457,662,490,731,725,61,655,650
"40",88,794,198,619,855,522,779,883
"41",61,440,912,267,551,122,43,675
"42",40,710,764,258,9,78,784,50
"43",159,769,66,821,613,357,517,414
"44",127,498,410,341,548,598,893,677
"45",743,10,43,970,813,925,504,706
"46",368,3,666,946,404,419,640,572
"47",793,102,499,317,883,438,507,954
"48",53,965,208,210,430,448,408,707
"49",91,198,481,199,892,144,803,754
"50",777,605,498,582,699,732,797,408
"51",163,295,933,885,910,961,733,60
"52",862,272,177,958,623,145,211,589
"53",787,579,28,281,272,155,103,419
"54",618,225,953,113,843,16,760,79
