"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5"
"1",318,36,443,337,399
"2",204,15,304,490,283
"3",387,450,367,236,58
"4",218,168,200,222,51
"5",242,435,498,437,136
"6",359,302,20,420,223
"7",435,12,424,82,50
"8",64,269,7,120,187
"9",466,367,107,201,88
"10",131,411,165,307,381
"11",319,474,274,450,87
"12",45,138,484,411,104
"13",362,328,373,200,456
"14",12,56,229,343,189
"15",61,368,475,312,304
"16",68,193,378,473,111
"17",107,10,500,280,77
"18",183,45,262,342,81
"19",469,73,489,143,168
"20",40,267,86,257,75
"21",397,396,78,270,401
"22",323,277,477,219,123
"23",230,432,305,268,43
"24",60,255,452,68,380
"25",44,95,380,309,46
"26",3,18,414,398,60
"27",265,483,324,323,145
"28",372,187,81,228,257
"29",382,471,192,336,282
"30",236,397,389,17,78
"31",320,201,62,13,44
"32",336,14,230,174,477
"33",487,393,293,141,274
"34",23,274,273,149,96
"35",348,370,476,5,53
"36",427,289,41,94,69
"37",58,34,259,452,486
"38",17,292,111,246,338
"39",431,330,369,60,288
"40",119,394,490,426,17
"41",404,59,6,401,481
"42",428,120,479,356,95
"43",62,22,180,14,10
"44",47,151,421,2,235
"45",417,376,244,167,106
"46",145,240,402,187,427
"47",489,83,218,63,72
"48",167,256,231,363,45
"49",43,428,391,229,377
"50",384,244,38,353,465
"51",225,123,351,483,149
"52",1,258,60,321,270
"53",87,101,178,322,432
"54",377,486,268,191,151
"55",453,389,203,402,57
"56",141,200,246,375,139
"57",337,395,179,496,335
"58",128,378,364,455,403
"59",390,352,177,125,74
"60",39,229,462,87,277
"61",226,301,422,65,267
"62",50,345,201,211,237
"63",311,362,271,416,276
"64",67,86,370,272,371
"65",423,498,472,116,198
"66",500,122,415,77,404
"67",330,112,253,100,430
"68",271,358,103,227,302
"69",374,476,425,400,225
"70",425,166,261,279,379
"71",32,13,240,158,328
"72",31,327,152,358,400
"73",11,322,488,499,394
"74",278,227,280,500,55
"75",104,160,131,345,367
"76",82,243,211,458,205
"77",386,288,100,132,387
"78",66,416,232,83,217
"79",482,21,119,249,436
"80",305,278,88,379,289
"81",9,115,311,266,290
"82",284,250,321,208,375
"83",255,407,151,42,29
"84",142,294,238,46,92
"85",443,43,202,351,268
"86",34,44,105,481,453
"87",273,452,418,139,450
"88",105,356,266,239,414
"89",188,155,31,88,13
"90",108,310,98,319,61
"91",290,55,468,477,40
"92",78,211,397,108,479
"93",306,2,130,128,497
"94",100,465,442,362,258
"95",331,128,403,470,255
"96",73,146,323,199,68
"97",268,71,359,56,411
"98",57,365,71,55,227
